ПРОИЗВОДИТЕЛЬ,НОМЕР ДЕТАЛИ,НАИМЕНОВАНИЕ ДЕТАЛИ,ОПИСАНИЕ ZZAP,ЦЕНА,СОСТОЯНИЕ,СРОК ДОСТАВКИ,ФОТО
Ford,R9DA,Двигатель,"Ford Focus 2017 г.в., бензин,  2.0 л. Будьте готовы назвать АРТИКУЛ: Z-127435468. Номер детали: R9DA, R9DA; R9DB; R9DC; R9DD. Склад: 4_2458_PB_298383. Контрактная деталь, без пробега по России.",366300,б/у,2-4 дня,http://171.25.166.53/~Reppart/reppart/298383-127435468.png
Ford,,Дверь передняя левая,"Ford Focus 3 2015 г.в., бензин,  1.6 л. Будьте готовы назвать АРТИКУЛ: Z-79693892. Склад: 4_350_PB_140681. Контрактная деталь, без пробега по России.",54600,б/у,2-4 дня,http://171.25.166.53/~Reppart/reppart/140681-79693892.png
Ford,,Крыло заднее левое,"Ford Focus 3 2015 г.в., бензин,  1.6 л. Будьте готовы назвать АРТИКУЛ: Z-79694068. Склад: 4_420_PB_140681. Контрактная деталь, без пробега по России.",65100,б/у,2-4 дня,Нет фотографии
Ford,,Крыло заднее правое,"Ford Focus 3 2015 г.в., бензин,  1.6 л. Будьте готовы назвать АРТИКУЛ: Z-79694070. Склад: 4_420_PB_140681. Контрактная деталь, без пробега по России.",65100,б/у,2-4 дня,Нет фотографии
Ford,1921063,Рулевая рейка,"Ford Focus 2012 г.в.. Будьте готовы назвать АРТИКУЛ: Z-91930803. Номер детали: 1921063, 1921063. Склад: 4_800_PB_45653. Новая деталь.",121600,новая,2-4 дня,Нет фотографии
Ford,602000800,Комплект сцепления,"Ford Focus 2015 г.в., бензин,  1.6 л , седан. Будьте готовы назвать АРТИКУЛ: Z-124806844. Номер детали: 602000800, 602000800. Склад: 4_850_PB_43392. Новая деталь.",129200,новая,2-4 дня,http://171.25.166.53/~Reppart/reppart/43392-124806844.png
Ford,CV6Z6007C,Двигатель,"Ford Focus CB8 2013 г.в.. Будьте готовы назвать АРТИКУЛ: Z-79051. Номер детали: CV6Z6007C, CV6Z6007C. Склад: 4_1158_PB_271357. Контрактная деталь, без пробега по России.",174900,б/у,2-4 дня,http://171.25.166.53/~Reppart/reppart/271357-79051.png
Ford,BV6P7000DA,КПП автоматическая (АКПП),"Ford Focus CB8 2013 г.в.. Будьте готовы назвать АРТИКУЛ: Z-79052. Номер детали: BV6P7000DA, BV6P7000DA. Склад: 4_698_PB_271357. Контрактная деталь, без пробега по России.",106800,б/у,2-4 дня,http://171.25.166.53/~Reppart/reppart/271357-79052.png
Ford,ASDA,Двигатель,"Ford Focus 2011 г.в., бензин,  1.4 л. Будьте готовы назвать АРТИКУЛ: Z-122608425. Номер детали: ASDA, ASDA. Склад: 4_500_PB_211032. Контрактная деталь, без пробега по России.",77000,б/у,2-4 дня,http://171.25.166.53/~Reppart/reppart/211032-122608425.png
Ford,,Головка блока цилиндров,"Ford Focus 2014 г.в., дизель,  1.6 л. Будьте готовы назвать АРТИКУЛ: Z-108464698_5. Склад: 4_440_PB_136508. Контрактная деталь, без пробега по России.",68200,б/у,2-4 дня,http://171.25.166.53/~Reppart/reppart/136508-108464698_5.png
Ford,3578AGACHMVW6Q,Стекло лобовое,"Ford Focus 2014-2019 2015 г.в.. Будьте готовы назвать АРТИКУЛ: Z-3578AGACHMVW6Q_st. Номер детали: 3578AGACHMVW6Q, 3578AGACHMVW6Q. Склад: 4_669_PB_229882. Новая деталь.",102400,новая,2-4 дня,http://171.25.166.53/~Reppart/reppart/229882-3578AGACHMVW6Q_st.png
Ford,3578AGSCHMVW6Q,Стекло лобовое,"Ford Focus 2014-2019 2015 г.в.. Будьте готовы назвать АРТИКУЛ: Z-3578AGSCHMVW6Q_st. Номер детали: 3578AGSCHMVW6Q, 3578AGSCHMVW6Q. Склад: 4_669_PB_229882. Новая деталь.",102400,новая,2-4 дня,http://171.25.166.53/~Reppart/reppart/229882-3578AGSCHMVW6Q_st.png
Ford,3578AGSHMVW1U,Стекло лобовое,"Ford Focus 2011-2019 2014 г.в.. Будьте готовы назвать АРТИКУЛ: Z-3578AGSHMVW1U_st. Номер детали: 3578AGSHMVW1U, 3578AGSHMVW1U. Склад: 4_461_PB_229882. Новая деталь.",71500,новая,2-4 дня,Нет фотографии
Ford,3578AGSHVW1B,Стекло лобовое,"Ford Focus 2011-2019 2014 г.в.. Будьте готовы назвать АРТИКУЛ: Z-3578AGSHVW1B_st. Номер детали: 3578AGSHVW1B, 3578AGSHVW1B. Склад: 4_418_PB_229882. Новая деталь.",64800,новая,2-4 дня,http://171.25.166.53/~Reppart/reppart/229882-3578AGSHVW1B_st.png
Ford,3577AGAHVW,Стекло лобовое,"Ford Focus 2010-2015 2011 г.в.. Будьте готовы назвать АРТИКУЛ: Z-3577AGAHVW_st. Номер детали: 3577AGAHVW, 3577AGAHVW. Склад: 4_434_PB_229882. Новая деталь.",67300,новая,2-4 дня,http://171.25.166.53/~Reppart/reppart/229882-3577AGAHVW_st.png
Ford,3577AGAHMVW1P,Стекло лобовое,"Ford Focus 2010-2015 2011 г.в.. Будьте готовы назвать АРТИКУЛ: Z-3577AGAHMVW1P_st. Номер детали: 3577AGAHMVW1P, 3577AGAHMVW1P. Склад: 4_372_PB_229882. Новая деталь.",58100,новая,2-4 дня,http://171.25.166.53/~Reppart/reppart/229882-3577AGAHMVW1P_st.png
Ford,2015846,Блок управления АКПП,"Ford Focus 2011 г.в., бензин,  1.6 л. Будьте готовы назвать АРТИКУЛ: Z-93846485. Номер детали: 2015846, 2015846. Склад: 4_700_PB_19252. Контрактная деталь, без пробега по России.",107100,б/у,2-4 дня,http://171.25.166.53/~Reppart/reppart/19252-93846485.png
Ford,,Рулевая рейка,"Ford Focus 2014 г.в.. Будьте готовы назвать АРТИКУЛ: Z-119276553. Склад: 4_420_PB_2084. Контрактная деталь, без пробега по России.",65100,б/у,2-4 дня,http://171.25.166.53/~Reppart/reppart/2084-119276553.png
Ford,3578AGSCHMVW2P,Стекло лобовое,"Ford Focus III 2014 г.в.. Будьте готовы назвать АРТИКУЛ: Z-3578AGSCHMVW2P_ng_lm. Номер детали: 3578AGSCHMVW2P, 3578AGSCHMVW2P. Склад: 4_516_PB_197628. Новая деталь.",79500,новая,2-4 дня,http://171.25.166.53/~Reppart/reppart/197628-3578AGSCHMVW2P_ng_lm.png
Ford,845175,Комплект сцепления,"Ford Focus 2011 г.в., дизель,  1.6 л. Будьте готовы назвать АРТИКУЛ: Z-118128758. Номер детали: 845175, 845175. Склад: 4_400_PB_119013. Новая деталь.",62400,новая,2-4 дня,http://171.25.166.53/~Reppart/reppart/119013-118128758.png
Ford,,Капот,"Ford Focus 3 rest 2017 г.в.. Будьте готовы назвать АРТИКУЛ: Z-117426939. Склад: 4_350_PB_53451. Контрактная деталь, без пробега по России.",54600,б/у,2-4 дня,http://171.25.166.53/~Reppart/reppart/53451-117426939.png
Ford,,Рулевая рейка,Ford Focus Эур 2012 г.в.. Будьте готовы назвать АРТИКУЛ: Z-116552157. Склад: 4_550_PB_106584. Новая деталь.,84700,новая,2-4 дня,http://171.25.166.53/~Reppart/reppart/106584-116552157.png
Ford,704512080,Клапан EGR,"Ford Focus 2014 г.в., дизель,  1.5 л. Будьте готовы назвать АРТИКУЛ: Z-70451208000. Номер детали: 704512080, 704512080. Склад: 4_372_PB_176723. Новая деталь.",58100,новая,2-4 дня,http://171.25.166.53/~Reppart/reppart/176723-70451208000.png
Ford,,Капот,"Ford Focus 3 rest 2016 г.в.. Будьте готовы назвать АРТИКУЛ: Z-91923345. Склад: 4_350_PB_46633. Контрактная деталь, без пробега по России.",54600,б/у,2-4 дня,http://171.25.166.53/~Reppart/reppart/46633-91923345.png
Ford,,Капот,"Ford Focus 3 рестайлинг 2017 г.в.. Будьте готовы назвать АРТИКУЛ: Z-76680050. Склад: 4_326_PB_46633. Контрактная деталь, без пробега по России.",51200,б/у,2-4 дня,http://171.25.166.53/~Reppart/reppart/46633-76680050.png
Ford,602000800,Комплект сцепления,"Ford Focus Powershift 2011 г.в., бензин,  1.6 л. Будьте готовы назвать АРТИКУЛ: Z-602000800. Номер детали: 602000800, 602000800. Склад: 4_822_PB_106584. Новая деталь.",125000,новая,2-4 дня,http://171.25.166.53/~Reppart/reppart/106584-602000800.png
Ford,,Блок управления АКПП,"Ford Focus 2012 г.в., бензин,  1.6 л. Будьте готовы назвать АРТИКУЛ: Z-72635421. Склад: 4_900_PB_106584. Новая деталь.",136800,новая,2-4 дня,http://171.25.166.53/~Reppart/reppart/106584-72635421.png
